Suburb,Postcode,Council,SocioEconomicStatus,Remoteness Level
AMATA,872,ANANGU PITJANTJATJARA YANKUNYTJATJARA,0,Very Remote Australia
ANANGU PITJANTJATJARA YANKUNYTJATJARA,872,ANANGU PITJANTJATJARA YANKUNYTJATJARA,0,Very Remote Australia
AYERS RANGE SOUTH,872,PASTORAL UNINCORPORATED AREA,0,Not Applicable
DE ROSE HILL,872,PASTORAL UNINCORPORATED AREA,0,Not Applicable
IWANTJA,872,ANANGU PITJANTJATJARA YANKUNYTJATJARA,0,Very Remote Australia
KALKA,872,ANANGU PITJANTJATJARA YANKUNYTJATJARA,0,Very Remote Australia
KALTJITI,872,ANANGU PITJANTJATJARA YANKUNYTJATJARA,0,Very Remote Australia
KANPI,872,ANANGU PITJANTJATJARA YANKUNYTJATJARA,0,Not Applicable
LAMBINA,872,PASTORAL UNINCORPORATED AREA,0,Not Applicable
MIMILI,872,ANANGU PITJANTJATJARA YANKUNYTJATJARA,0,Very Remote Australia
MURPUTJA,872,ANANGU PITJANTJATJARA YANKUNYTJATJARA,0,Not Applicable
NYAPARI,872,ANANGU PITJANTJATJARA YANKUNYTJATJARA,0,Not Applicable
PIPALYATJARA,872,ANANGU PITJANTJATJARA YANKUNYTJATJARA,0,Very Remote Australia
PUKATJA,872,ANANGU PITJANTJATJARA YANKUNYTJATJARA,0,Very Remote Australia
TIEYON,872,PASTORAL UNINCORPORATED AREA,0,Not Applicable
UMUWA,872,ANANGU PITJANTJATJARA YANKUNYTJATJARA,0,Not Applicable
WATARRU,872,ANANGU PITJANTJATJARA YANKUNYTJATJARA,0,Very Remote Australia
WATINUMA,872,ANANGU PITJANTJATJARA YANKUNYTJATJARA,0,Not Applicable
YUNYARINYI,872,ANANGU PITJANTJATJARA YANKUNYTJATJARA,0,Not Applicable
WELLAND,5007,CITY OF CHARLES STURT,0,Major Cities of Australia
YARRAMBA,5440,PASTORAL UNINCORPORATED AREA,0,Not Applicable
ADELAIDE,5000,CITY OF ADELAIDE,0,Major Cities of Australia
NORTH ADELAIDE,5006,CITY OF ADELAIDE,0,Major Cities of Australia
BOWDEN,5007,CITY OF CHARLES STURT,0,Major Cities of Australia
BROMPTON,5007,CITY OF CHARLES STURT,0,Major Cities of Australia
HINDMARSH,5007,CITY OF CHARLES STURT,0,Major Cities of Australia
BOLLARDS LAGOON,5731,PASTORAL UNINCORPORATED AREA,0,Not Applicable
WEST HINDMARSH,5007,CITY OF CHARLES STURT,0,Major Cities of Australia
CROYDON,5008,CITY OF CHARLES STURT,0,Major Cities of Australia
CROYDON PARK,5008,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
DEVON PARK,5008,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
DUDLEY PARK,5008,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
RENOWN PARK,5008,CITY OF CHARLES STURT,0,Major Cities of Australia
RIDLEYTON,5008,CITY OF CHARLES STURT,0,Major Cities of Australia
WEST CROYDON,5008,CITY OF CHARLES STURT,0,Major Cities of Australia
ALLENBY GARDENS,5009,CITY OF CHARLES STURT,0,Major Cities of Australia
BEVERLEY,5009,CITY OF CHARLES STURT,0,Major Cities of Australia
KILKENNY,5009,CITY OF CHARLES STURT,0,Major Cities of Australia
ANGLE PARK,5010,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
FERRYDEN PARK,5010,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
REGENCY PARK,5010,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
ST CLAIR,5011,CITY OF CHARLES STURT,0,Major Cities of Australia
WOODVILLE,5011,CITY OF CHARLES STURT,0,Major Cities of Australia
WOODVILLE PARK,5011,CITY OF CHARLES STURT,0,Major Cities of Australia
WOODVILLE SOUTH,5011,CITY OF CHARLES STURT,0,Major Cities of Australia
WOODVILLE WEST,5011,CITY OF CHARLES STURT,0,Major Cities of Australia
ATHOL PARK,5012,CITY OF CHARLES STURT,0,Major Cities of Australia
MANSFIELD PARK,5012,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
WOODVILLE GARDENS,5012,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
WOODVILLE NORTH,5012,CITY OF CHARLES STURT,0,Major Cities of Australia
GARDEN ISLAND,5015,UIA TORRENS ISLAND,0,Not Applicable
GILLMAN,5013,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
OTTOWAY,5013,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
PENNINGTON,5013,CITY OF CHARLES STURT,0,Major Cities of Australia
ROSEWATER,5013,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
WINGFIELD,5013,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
ALBERT PARK,5014,CITY OF CHARLES STURT,0,Major Cities of Australia
ALBERTON,5014,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
CHELTENHAM,5014,CITY OF CHARLES STURT,0,Major Cities of Australia
HENDON,5014,CITY OF CHARLES STURT,0,Major Cities of Australia
QUEENSTOWN,5014,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
ROYAL PARK,5014,CITY OF CHARLES STURT,0,Major Cities of Australia
BIRKENHEAD,5015,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
ETHELTON,5015,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
GLANVILLE,5015,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
NEW PORT,5015,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
PORT ADELAIDE,5015,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
TORRENS ISLAND,5015,UIA TORRENS ISLAND,0,Major Cities of Australia
LARGS BAY,5016,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
LARGS NORTH,5016,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
PETERHEAD,5016,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
OSBORNE,5017,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
TAPEROO,5017,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
CAMDEN PARK,5038,CITY OF WEST TORRENS,0,Major Cities of Australia
NORTH HAVEN,5018,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
OUTER HARBOR,5018,CITY OF PORT ADELAIDE ENFIELD,0,Not Applicable
EXETER,5019,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
SEMAPHORE,5019,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
SEMAPHORE PARK,5019,CITY OF CHARLES STURT,0,Major Cities of Australia
SEMAPHORE SOUTH,5019,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
WEST LAKES SHORE,5020,CITY OF CHARLES STURT,0,Major Cities of Australia
WEST LAKES,5021,CITY OF CHARLES STURT,0,Major Cities of Australia
GRANGE,5022,CITY OF CHARLES STURT,0,Major Cities of Australia
HENLEY BEACH,5022,CITY OF CHARLES STURT,0,Major Cities of Australia
HENLEY BEACH SOUTH,5022,CITY OF CHARLES STURT,0,Major Cities of Australia
GOODWOOD,5034,CITY OF UNLEY,0,Major Cities of Australia
TENNYSON,5022,CITY OF CHARLES STURT,0,Major Cities of Australia
FINDON,5023,CITY OF CHARLES STURT,0,Major Cities of Australia
SEATON,5023,CITY OF CHARLES STURT,0,Major Cities of Australia
FULHAM,5024,CITY OF WEST TORRENS,0,Major Cities of Australia
KINGS PARK,5034,CITY OF UNLEY,0,Major Cities of Australia
ST MARYS,5042,CITY OF MITCHAM,0,Major Cities of Australia
TONSLEY,5042,CITY OF MARION,0,Major Cities of Australia
FULHAM GARDENS,5024,CITY OF CHARLES STURT,0,Major Cities of Australia
WEST BEACH,5024,CITY OF WEST TORRENS,0,Major Cities of Australia
FLINDERS PARK,5025,CITY OF CHARLES STURT,0,Major Cities of Australia
KIDMAN PARK,5025,CITY OF CHARLES STURT,0,Major Cities of Australia
MILE END,5031,CITY OF WEST TORRENS,0,Major Cities of Australia
MILE END SOUTH,5031,CITY OF WEST TORRENS,0,Major Cities of Australia
THEBARTON,5031,CITY OF WEST TORRENS,0,Major Cities of Australia
TORRENSVILLE,5031,CITY OF WEST TORRENS,0,Major Cities of Australia
BROOKLYN PARK,5032,CITY OF WEST TORRENS,0,Major Cities of Australia
NORTH PLYMPTON,5037,CITY OF WEST TORRENS,0,Major Cities of Australia
LOCKLEYS,5032,CITY OF WEST TORRENS,0,Major Cities of Australia
UNDERDALE,5032,CITY OF WEST TORRENS,0,Major Cities of Australia
COWANDILLA,5033,CITY OF WEST TORRENS,0,Major Cities of Australia
HILTON,5033,CITY OF WEST TORRENS,0,Major Cities of Australia
MARLESTON,5033,CITY OF WEST TORRENS,0,Major Cities of Australia
RICHMOND,5033,CITY OF WEST TORRENS,0,Major Cities of Australia
WEST RICHMOND,5033,CITY OF WEST TORRENS,0,Major Cities of Australia
CLARENCE PARK,5034,CITY OF UNLEY,0,Major Cities of Australia
MILLSWOOD,5034,CITY OF UNLEY,0,Major Cities of Australia
WAYVILLE,5034,CITY OF UNLEY,0,Major Cities of Australia
ASHFORD,5035,CITY OF WEST TORRENS,0,Major Cities of Australia
BLACK FOREST,5035,CITY OF UNLEY,0,Major Cities of Australia
EVERARD PARK,5035,CITY OF UNLEY,0,Major Cities of Australia
FORESTVILLE,5035,CITY OF UNLEY,0,Major Cities of Australia
KESWICK,5035,CITY OF WEST TORRENS,0,Major Cities of Australia
KESWICK TERMINAL,5035,CITY OF WEST TORRENS,0,Not Applicable
GLANDORE,5037,CITY OF MARION,0,Major Cities of Australia
KURRALTA PARK,5037,CITY OF WEST TORRENS,0,Major Cities of Australia
NETLEY,5037,CITY OF WEST TORRENS,0,Major Cities of Australia
MCCALLUM,5267,TATIARA DC,0,Not Applicable
PLYMPTON,5038,CITY OF WEST TORRENS,0,Major Cities of Australia
PLYMPTON PARK,5038,CITY OF MARION,0,Major Cities of Australia
SOUTH PLYMPTON,5038,CITY OF MARION,0,Major Cities of Australia
CLARENCE GARDENS,5039,CITY OF MITCHAM,0,Major Cities of Australia
EDWARDSTOWN,5039,CITY OF MARION,0,Major Cities of Australia
MELROSE PARK,5039,CITY OF MITCHAM,0,Major Cities of Australia
NOVAR GARDENS,5040,CITY OF WEST TORRENS,0,Major Cities of Australia
COLONEL LIGHT GARDENS,5041,CITY OF MITCHAM,0,Major Cities of Australia
CUMBERLAND PARK,5041,CITY OF MITCHAM,0,Major Cities of Australia
DAW PARK,5041,CITY OF MITCHAM,0,Major Cities of Australia
PANORAMA,5041,CITY OF MITCHAM,0,Major Cities of Australia
WESTBOURNE PARK,5041,CITY OF MITCHAM,0,Major Cities of Australia
BEDFORD PARK,5042,CITY OF MITCHAM,0,Major Cities of Australia
CLOVELLY PARK,5042,CITY OF MARION,0,Major Cities of Australia
PASADENA,5042,CITY OF MITCHAM,0,Major Cities of Australia
ASCOT PARK,5043,CITY OF MARION,0,Major Cities of Australia
MARION,5043,CITY OF MARION,0,Major Cities of Australia
MITCHELL PARK,5043,CITY OF MARION,0,Major Cities of Australia
MORPHETTVILLE,5043,CITY OF MARION,0,Major Cities of Australia
PARK HOLME,5043,CITY OF MARION,0,Major Cities of Australia
GLENGOWRIE,5044,CITY OF MARION,0,Major Cities of Australia
WARRADALE,5046,CITY OF MARION,0,Major Cities of Australia
LOWER MITCHAM,5062,CITY OF MITCHAM,0,Major Cities of Australia
